ticker,name,asset_type,sector,industry,market_cap
WBD,"Warner Bros. Discovery, Inc.",Stock,Communication Services,Entertainment,72.1
SCHX,Schwab U.S. Large-Cap ETF,ETF,ETF,,71.8
ORLY,"O'Reilly Automotive, Inc.",Stock,Consumer Cyclical,Auto Parts,71.6
VTIP,Vanguard Short-Term Inflation-Protected Securities Index Fund ETF Shares,ETF,ETF,,71.2
BSV,Vanguard Short-Term Bond ETF,ETF,ETF,,70.6
KMI,"Kinder Morgan, Inc.",Stock,Energy,Oil & Gas Midstream,70.3
VCIT,Vanguard Intermediate-Term Corporate Bond ETF,ETF,ETF,,69.8
SPG,"Simon Property Group, Inc.",Stock,Real Estate,REIT - Retail,69.4
HPE,Hewlett Packard Enterprise Company,Stock,Technology,Communication Equipment,69.3
HON,Honeywell International Inc.,Stock,Industrials,Conglomerates,68.9
DLR,"Digital Realty Trust, Inc.",Stock,Real Estate,REIT - Specialty,68.8
AJG,Arthur J. Gallagher & Co.,Stock,Financial Services,Insurance Brokers,68.6
APD,"Air Products and Chemicals, Inc.",Stock,Basic Materials,Specialty Chemicals,68.6
VBR,Vanguard Morningstar Small-Cap Value ETF,ETF,ETF,,68.3
SMH,VanEck Semiconductor ETF,ETF,ETF,,68.1
RSG,"Republic Services, Inc.",Stock,Industrials,Waste Management,68.0
BSX,Boston Scientific Corporation,Stock,Healthcare,Medical Devices,67.9
SCHF,Schwab International Equity ETF,ETF,ETF,,67.2
AEP,"American Electric Power Company, Inc.",Stock,Utilities,Utilities - Regulated Electric,66.6
PCAR,PACCAR Inc,Stock,Industrials,Farm & Heavy Construction Machinery,66.0
ALL,The Allstate Corporation,Stock,Financial Services,Insurance - Property & Casualty,65.9
TDG,TransDigm Group Incorporated,Stock,Industrials,Aerospace & Defense,65.6
URI,"United Rentals, Inc.",Stock,Industrials,Rental & Leasing Services,64.1
BE,Bloom Energy Corporation,Stock,Industrials,Electrical Equipment & Parts,62.1
